vessel_no,FreqUse,TripType,SourceWater,RiskyWater,MaxVol,EmptyDepart,EmptyArrival,FreqDischarge,vessel_type,comm_activity,name,home,location,sum_score,hazard_score,Length,Speed,storage,steam_fine,steam_rough,active_fine,active_rough,mean_rate,max_rate
1,3,2,4,4,4,4,1,2,Commercial,Marine construction,Pelorus,Port Nelson,Nelson/Picton,22,3072,16.5,7.5,In water,0.5,0.5,0.5,0.5,0.5,0.5
2,3,1,0,1,3,1,1,0,Commercial,Charter services,Rasada,Z Pier,Auckland,9,0,16,10,In water,0,0,0,0,0,0
3,3,1,1,2,3,1,1,0,Commercial,Charter services,Cobalt,Z Pier,Auckland,10,0,15,12,In water,0,0,0,0,0,0
4,3,1,0,1,3,1,2,4,Commercial,Charter services,Majuro,Z Pier,Auckland,11,0,13,12,In water,0,0,0,0,0,0
5,3,1,0,1,1,1,1,0,Commercial,Charter services,Dream On,Z Pier,Auckland,4,0,14,7,In water,0,0,0,0,0,0
6,1,1,3,3,3,1,3,3,Launch,NA ,Maria,Hobson Bay,Auckland,15,243,7,5,In water,0.083333333,0,0.083333333,0.083333333,0.0625,0.083333333
7,2,1,4,1,3,1,4,2,Trailer boat,NA ,Bottom Line,Z Pier,Auckland,14,192,6.5,10,On land,0.166666667,1,0.166666667,0.5,0.458333333,1
8,2,1,4,1,4,1,4,3,Trailer boat,NA ,Ready Steady Crew,Z Pier,Auckland,15,384,6.8,8,On land,0.166666667,0,0.166666667,0.5,0.208333333,0.5
9,1,1,3,1,3,1,4,2,Trailer boat,NA ,Jeronimo,Z Pier,Auckland,14,72,7,6,On land,0.25,0.5,0.166666667,0.5,0.354166667,0.5
10,2,1,2,1,2,1,4,4,Trailer boat,NA ,Time Out,Z Pier,Auckland,12,128,6.3,5,On land,0,0,0,0,0,0
11,2,3,2,2,3,2,2,3,Yacht,NA ,Charlotte,Westhaven marina,Auckland,14,864,12.2,6,In water,0.041666667,0.083333333,0.041666667,0.083333333,0.0625,0.083333333
12,2,1,3,2,3,1,2,3,Trailer boat,NA ,Banshee,Z Pier,Auckland,13,216,6,18,On land,0,0.25,0.166666667,0.166666667,0.145833333,0.25
13,1,1,1,4,3,4,1,0,Yacht,NA ,Iron Lady,Bayswater marina,Auckland,15,0,9.7,6,In water,0,0,0,0,0,0
14,1,2,1,1,3,1,2,3,Launch,NA ,Jasmine,Bayswater marina,Auckland,11,36,12.8,22,In water,0.125,0.125,0.125,0.125,0.125,0.125
15,2,2,0,1,2,1,1,0,Yacht,NA ,Largesse,Bayswater marina,Auckland,8,0,9.5,7,In water,0,0,0,0,0,0
16,1,3,0,1,1,1,1,0,Yacht,NA ,Kiba Darshan,Bayswater marina,Auckland,5,0,11.6,6,In water,0,0,0,0,0,0
17,2,2,1,1,4,3,1,0,Launch,NA ,Rosemary,Bayswater marina,Auckland,13,0,12.2,18,In water,0,0,0,0,0,0
18,1,2,2,2,2,1,4,3,Yacht,NA ,Blue Raven,Bayswater marina,Auckland,14,192,8.2,5,In water,0.083333333,0.166666667,0.083333333,0.166666667,0.125,0.166666667
19,2,1,1,1,3,2,3,3,Launch,NA ,Catherine J,Bayswater marina,Auckland,12,108,8.5,6,In water,0.041666667,0.083333333,0.041666667,0.083333333,0.0625,0.083333333
20,2,3,0,1,1,2,1,0,Yacht,NA ,Mandala,Bayswater marina,Auckland,8,0,15,8,In water,0,0,0,0,0,0
21,2,3,0,1,3,1,1,0,Yacht,NA ,Kahika,Bayswater marina,Auckland,10,0,10,6.5,In water,0,0,0,0,0,0
22,2,2,4,1,3,1,2,3,Launch,NA ,Edelweiss,Bayswater marina,Auckland,13,288,12,20,In water,0,0,0.041666667,0.041666667,0.020833333,0.041666667
23,1,2,1,2,3,2,3,3,Launch,NA ,Bridget,Bayswater marina,Auckland,14,216,10,15,In water,0.041666667,0.083333333,0.041666667,0.083333333,0.0625,0.083333333
24,4,4,3,2,1,1,1,3,Yacht,NA ,BlueBelle,Bayswater marina,Auckland,16,288,14,6,In water,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667
25,1,3,3,4,3,3,2,3,Yacht,NA ,Legal Tender,Bayswater marina,Auckland,19,1944,10.2,6,In water,0.166666667,0.333333333,0.083333333,0.166666667,0.1875,0.333333333
26,4,4,0,1,3,1,1,0,Yacht,NA ,Sawage,Hobson Bay,Auckland,14,0,14.6,8,In water,0,0,0,0,0,0
27,2,3,1,1,4,1,1,0,Launch,NA ,Aokua,Bayswater marina,Auckland,12,0,12.5,18,In water,0,0,0,0,0,0
28,2,1,2,1,3,1,1,3,Launch,NA ,Waimata,Bayswater marina,Auckland,10,36,12,22,In water,0,0.125,0,0,0.03125,0.125
29,3,3,2,1,2,1,1,3,Launch,NA ,Aurora,Westhaven marina,Auckland,12,108,11.5,18,In water,0,0,0.125,0.125,0.0625,0.125
30,3,1,4,1,3,1,4,2,Trailer boat,NA ,Kumu,Z Pier,Auckland,15,288,7,6,On land,1,2,0.166666667,0.5,0.916666667,2
31,1,1,3,1,2,1,4,3,Trailer boat,NA ,Relay,Z Pier,Auckland,13,72,6,6,On land,0.333333333,0.333333333,0.166666667,0.333333333,0.291666667,0.333333333
32,3,2,4,2,3,1,1,2,Trailer boat,NA ,Off the grid,Z Pier,Auckland,14,288,6.1,22,On land,0.333333333,1,0.166666667,1,0.625,1
33,2,1,3,1,2,1,2,2,Trailer boat,NA ,Goldilocks,Z Pier,Auckland,11,48,6.5,20,On land,0.166666667,0.333333333,0.333333333,0.5,0.333333333,0.5
34,2,2,2,2,2,2,1,3,Yacht,NA ,Mariposa,Bayswater marina,Auckland,12,192,8.5,5,In water,0,0.083333333,0,0.083333333,0.041666667,0.083333333
35,3,2,0,1,3,1,1,0,Yacht,NA ,Wind Dancer,Bayswater marina,Auckland,11,0,9.3,6,In water,0,0,0,0,0,0
36,2,3,1,1,3,3,2,4,Yacht,NA ,Maria Anne,Bayswater marina,Auckland,14,432,12.8,6,In water,0,0,0,0,0,0
37,3,1,4,2,2,1,1,3,Trailer boat,NA ,Little Red,Z Pier,Auckland,12,144,5.8,20,On land,0,0.166666667,0.333333333,0.5,0.25,0.5
38,2,1,4,1,3,1,2,3,Trailer boat,NA ,Dandelion,Z Pier,Auckland,12,144,6.2,22,On land,0.125,0.25,0.125,0.25,0.1875,0.25
39,3,1,2,1,3,1,1,3,Trailer boat,NA ,Rebel,Z Pier,Auckland,11,54,7.1,20,On land,0,0.125,0,0.125,0.0625,0.125
40,3,3,2,1,4,4,1,3,Yacht,NA ,Double Bruyn,Westhaven marina,Auckland,17,864,11.3,6,In water,0,0.041666667,0.041666667,0.083333333,0.041666667,0.083333333
41,3,1,4,1,3,1,2,4,Yacht,NA ,Sanna,Westhaven marina,Auckland,13,288,8,4,In water,0,0,0,0,0,0
42,3,1,4,1,3,1,2,3,Trailer boat,NA ,Buccaneer,Z Pier,Auckland,13,216,6.1,10,On land,0.166666667,0.333333333,0.166666667,0.333333333,0.25,0.333333333
43,3,1,3,1,2,1,2,3,Trailer boat,NA ,Doggy Style,Z Pier,Auckland,13,108,6,12,On land,0.166666667,0.333333333,0.333333333,0.333333333,0.291666667,0.333333333
44,3,1,4,1,2,1,1,0,Trailer boat,NA ,Worcester Sauce,Z Pier,Auckland,11,0,5,6,On land,0,0,0,0,0,0
45,2,2,4,1,1,1,1,2,Trailer boat,NA ,Jack,Z Pier,Auckland,10,32,5.5,26,On land,0.333333333,0.333333333,0.5,0.5,0.416666667,0.5
46,1,1,2,1,2,1,1,0,Trailer boat,NA ,Ariella,Z Pier,Auckland,9,0,5.3,20,On land,0,0,0,0,0,0
47,4,1,2,1,1,1,1,0,Trailer boat,NA ,Dragon boat support vessel,Z Pier,Auckland,9,0,5,5,On land,0,0,0,0,0,0
48,3,1,4,1,3,1,2,2,Trailer boat,NA ,Sea Lady,Z Pier,Auckland,13,144,6,12,On land,0.083333333,0.166666667,0.5,1,0.4375,1
49,2,1,3,1,3,1,1,0,Trailer boat,NA ,Beatrice,Z Pier,Auckland,11,0,6.4,10,On land,0,0,0,0,0,0
50,3,1,3,1,3,1,1,0,Trailer boat,NA ,Veging out,Z Pier,Auckland,12,0,5.1,20,On land,0,0,0,0,0,0
51,3,1,4,1,4,1,1,0,Trailer boat,NA ,Tullulah,Z Pier,Auckland,13,0,6.1,19,On land,0,0,0,0,0,0
52,2,3,1,1,2,3,2,3,Yacht,NA ,Dream Weaver,Westhaven marina,Auckland,13,216,11.2,6,In water,0.041666667,0.125,0.041666667,0.125,0.083333333,0.125
53,2,2,1,1,2,2,1,3,Yacht,NA ,Dragonfly,Westhaven marina,Auckland,10,48,12.5,6,In water,0.020833333,0.083333333,0.020833333,0.083333333,0.052083333,0.083333333
54,3,4,2,1,2,2,2,3,Yacht,NA ,Margarita,Westhaven marina,Auckland,16,576,13,7,In water,0,0.041666667,0,0.041666667,0.020833333,0.041666667
55,3,2,0,1,2,1,1,0,Yacht,NA ,Bootlegger,Nelson marina,Nelson/Picton,10,0,10.6,6,In water,0,0,0,0,0,0
56,3,3,3,1,1,2,1,3,Yacht,NA ,Farr'away,Nelson marina,Nelson/Picton,13,162,10.6,7,In water,0.125,0.125,0.125,0.125,0.125,0.125
57,4,4,2,1,2,2,2,3,Yacht,NA ,Annabelle,Hobart,Nelson/Picton,17,768,10,6,In water,0.041666667,0.125,0,0.041666667,0.052083333,0.125
58,3,4,1,1,2,2,3,3,Yacht,NA ,Dutch,Nelson marina,Nelson/Picton,15,432,13,6,In water,0.041666667,0.125,0,0,0.041666667,0.125
59,2,3,1,1,2,3,1,3,Yacht,NA ,Cavalier,Waikawa marina,Nelson/Picton,12,108,12,7,In water,0.083333333,0.166666667,0.041666667,0.166666667,0.114583333,0.166666667
60,3,3,2,1,1,4,1,3,Yacht,NA ,Rascal,Waikawa marina,Nelson/Picton,14,216,10.6,6,In water,0.020833333,0.041666667,0.020833333,0.041666667,0.03125,0.041666667
61,3,3,4,1,1,1,4,4,Commercial,Dive support,Imogen 3,Picton boat ramp,Nelson/Picton,16,576,7,27,On land,0,0,0,0,0,0
62,2,2,4,1,4,1,4,3,Trailer boat,NA ,Mr T,Picton boat ramp,Nelson/Picton,16,768,7.1,26,On land,0.166666667,0.333333333,0.166666667,0.333333333,0.25,0.333333333
63,3,2,0,1,1,1,4,4,Trailer boat,NA ,Nikau Bay,Picton boat ramp,Nelson/Picton,11,0,7,22,On land,0,0,0,0,0,0
64,2,1,4,1,2,1,4,3,Trailer boat,NA ,Fishy business,Picton boat ramp,Nelson/Picton,13,192,6,25,On land,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667
65,2,1,0,1,2,1,4,4,Trailer boat,NA ,Sport fisherman,Picton boat ramp,Nelson/Picton,10,0,6,22,On land,0,0,0,0,0,0
66,2,2,1,1,2,1,3,3,Launch,NA ,Merlyn Ray,Picton marina,Nelson/Picton,11,72,12.8,23,In water,0.125,0.125,0.125,0.125,0.125,0.125
67,1,3,0,1,2,1,4,3,Yacht,NA ,Te Kuaka,Mana marina,Nelson/Picton,12,0,10,7.2,In water,0.125,0.125,0.125,0.125,0.125,0.125
68,2,2,4,1,3,1,2,3,Launch,NA ,Monarch,Picton marina,Nelson/Picton,13,288,12.8,25,In water,0,0,0.125,0.125,0.0625,0.125
69,2,1,4,1,1,1,1,1,Trailer boat,NA ,Reel Deal,Picton boat ramp,Nelson/Picton,9,8,8,25,On land,0.428571429,0.571428571,4.714285714,0.571428571,1.571428571,4.714285714
70,2,1,3,1,2,1,1,3,Trailer boat,NA ,Renegade,Picton boat ramp,Nelson/Picton,10,36,8,25,On land,0,0,0.125,0.25,0.09375,0.25
71,2,2,4,1,1,1,1,0,Trailer boat,NA ,Last Call,Picton boat ramp,Nelson/Picton,10,0,10,25,On land,0,0,0,0,0,0
72,2,1,3,1,2,1,1,3,Trailer boat,NA ,High Seas,Picton boat ramp,Nelson/Picton,10,36,7,20,On land,0.111111111,0.333333333,0.111111111,0.333333333,0.222222222,0.333333333
73,4,3,2,1,2,2,2,3,Yacht,NA ,Blue Belle,Picton marina,Nelson/Picton,16,576,11,7,In water,0,0.125,0,0.125,0.0625,0.125
74,4,4,1,1,3,3,4,3,Yacht,NA ,Lolita,Picton marina,Nelson/Picton,20,1728,16,8,In water,0.041666667,0.125,0.041666667,0.125,0.083333333,0.125
75,3,3,4,1,1,1,4,2,Commercial,Dive support,HJ,Picton boat ramp,Nelson/Picton,16,288,7,25,On land,0,0,0.5,1,0.375,1
76,4,3,1,4,1,2,2,3,Yacht,NA ,King Billy,Nelson Haven,Nelson/Picton,17,576,11.5,5,In water,0.041666667,0.166666667,0.041666667,0.166666667,0.104166667,0.166666667
77,3,3,0,1,3,2,4,3,Commercial,Fishing/aquaculture,Ata Whenua,Nelson marina,Nelson/Picton,15,0,18.5,14,In water,0,0,0.041666667,0.041666667,0.020833333,0.041666667
78,3,3,4,1,1,1,1,3,Trailer boat,NA ,Brutally Handsome,Nelson boat ramp,Nelson/Picton,12,108,6,30,On land,0,0,0.166666667,0.166666667,0.083333333,0.166666667
79,2,3,2,1,2,1,1,0,Trailer boat,NA ,Minstrel,Nelson boat ramp,Nelson/Picton,11,0,5.8,20,On land,0,0,0,0,0,0
80,2,1,4,1,2,1,1,4,Trailer boat,NA ,Rubber Ducky,Nelson boat ramp,Nelson/Picton,10,64,5.5,24,On land,0,0,0,0,0,0
81,2,1,2,1,3,1,1,0,Trailer boat,NA ,McClay,Nelson boat ramp,Nelson/Picton,10,0,5.9,20,On land,0,0,0,0,0,0
82,2,1,4,1,2,1,1,0,Trailer boat,NA ,Sea Pearl,Nelson boat ramp,Nelson/Picton,10,0,5,20,On land,0,0,0,0,0,0
83,2,1,4,1,2,1,2,2,Trailer boat,NA ,Calypso,Nelson boat ramp,Nelson/Picton,11,64,5.8,20,On land,0.166666667,0.333333333,0.333333333,0.666666667,0.375,0.666666667
84,2,1,3,1,3,1,1,0,Trailer boat,NA ,Wet Dreams,Nelson boat ramp,Nelson/Picton,11,0,8.5,30,On land,0,0,0,0,0,0
85,3,3,4,1,3,1,1,3,Trailer boat,NA ,Ika Nua,Nelson boat ramp,Nelson/Picton,14,324,6.5,20,On land,0,0,0.166666667,0.166666667,0.083333333,0.166666667
86,2,3,1,2,3,3,1,3,Yacht,NA ,Calculator,Nelson marina,Nelson/Picton,14,324,9,6,In water,0.083333333,0.333333333,0.041666667,0.083333333,0.135416667,0.333333333
87,2,3,1,1,3,2,2,3,Yacht,NA ,Kautere,Nelson marina,Nelson/Picton,13,216,10.6,6,In water,0.041666667,0.083333333,0,0,0.03125,0.083333333
88,3,4,2,1,2,1,1,3,Yacht,NA ,Sailing Solution,Nelson marina,Nelson/Picton,14,144,14.6,7,In water,0,0.041666667,0,0,0.010416667,0.041666667
89,4,3,1,1,3,4,1,3,Yacht,NA ,Seeker 1,Nelson marina,Nelson/Picton,17,432,12.2,6,In water,0.020833333,0.166666667,0,0,0.046875,0.166666667
90,4,3,0,1,2,1,1,3,Yacht,NA ,Urraco,Nelson marina,Nelson/Picton,12,0,11.3,5,In water,0,0.041666667,0,0,0.010416667,0.041666667
91,4,4,0,1,1,1,1,0,Yacht,NA ,Morning Star,Nelson marina,Nelson/Picton,12,0,12,6,In water,0,0,0,0,0,0
92,2,3,2,1,4,2,1,3,Yacht,NA ,Mon Tour,Nelson marina,Nelson/Picton,14,288,10.7,6,In water,0,0.041666667,0,0.041666667,0.020833333,0.041666667
93,2,3,4,1,3,2,1,3,Launch,NA ,Mandalay,Nelson marina,Nelson/Picton,14,432,13,20,In water,0,0,0.166666667,0.333333333,0.125,0.333333333
94,3,3,4,4,2,1,1,3,Commercial,Dive support,Topside,Nelson boat ramp,Nelson/Picton,18,864,6.8,20,On land,0,0,0.125,0.5,0.15625,0.5
95,2,1,4,1,2,1,1,3,Trailer boat,NA ,Spear Rib,Nelson boat ramp,Nelson/Picton,10,48,4.9,24,On land,0,0,0,0.5,0.125,0.5
96,1,1,4,1,2,1,3,2,Trailer boat,NA ,AliCraft,Nelson boat ramp,Nelson/Picton,12,48,4.6,16,On land,1,0,1,0,0.5,1
97,3,2,4,1,2,1,1,3,Commercial,Research/consulting,Waihoe,Nelson boat ramp,Nelson/Picton,13,144,8,20,On land,0,0,0.5,0.5,0.25,0.5
98,3,1,4,1,3,1,1,0,Trailer boat,NA ,Tom Thumb,Nelson boat ramp,Nelson/Picton,12,0,5.4,20,On land,0,0,0,0,0,0
99,2,1,4,1,2,1,2,2,Commercial,Research/consulting,Aihe,Waikawa boat ramp,Nelson/Picton,12,64,4.5,20,On land,0,0.333333333,0.333333333,0.666666667,0.333333333,0.666666667
100,3,2,4,1,2,1,1,2,Commercial,Harbour patrol,Astrolabe,Picton boat ramp,Nelson/Picton,13,96,6.8,24,On land,0.25,1,0.666666667,2,0.979166667,2
101,4,1,3,1,2,1,2,3,Commercial,Harbour patrol,HM01,Marine Rescue Centre,Auckland,14,144,8.5,30,In water,0,0,0.333333333,0.333333333,0.166666667,0.333333333
102,3,1,0,1,1,1,2,4,Commercial,Harbour patrol,HM05,Marine Rescue Centre,Auckland,7,0,13,20,In water,0,0,0,0,0,0
103,4,1,4,1,2,1,2,3,Commercial,Harbour patrol,HM06,Marine Rescue Centre,Auckland,15,192,8.5,30,In water,0,0,0.333333333,0.5,0.208333333,0.5
104,4,2,0,1,1,1,1,0,Commercial,Shipping support,Waimea II,Port Nelson,Nelson/Picton,9,0,12.6,23,In water,0,0,0,0,0,0
105,4,1,0,1,4,1,1,0,Commercial,Shipping support,Toia,Port Nelson,Nelson/Picton,12,0,22.7,8,In water,0,0,0,0,0,0
106,4,1,0,1,4,1,1,0,Commercial,Shipping support,Parr,Port Nelson,Nelson/Picton,12,0,22.7,8,In water,0,0,0,0,0,0
107,4,1,0,1,4,4,1,1,Commercial,Harbour patrol,Kaiarataki O Oteamaiea,Nelson marina,Nelson/Picton,15,0,8.5,20,In water,1,1,1,1,1,1
108,3,2,4,1,1,4,1,3,Commercial,Fishing/aquaculture,HawkEye,Havelock marina,Nelson/Picton,16,288,12.4,15,In water,0,0,0.083333333,0.166666667,0.0625,0.166666667
109,2,3,0,1,2,2,1,0,Launch,NA ,Loretta,Nelson marina,Nelson/Picton,10,0,12.2,22,In water,0,0,0,0,0,0
110,1,2,4,1,2,2,2,3,Launch,NA ,Kotare,Nelson marina,Nelson/Picton,13,192,11.5,20,In water,0,0,0.083333333,0.083333333,0.041666667,0.083333333
